标题,发布时间,详情页链接,项目编号,项目名称,预算金额,采购需求,提交投标文件截止时间,项目联系人,电话,采购人名称,采购人地址,相关度评分,判断理由,地区,项目类型,预算规模,核心产品,潜在机会,跟进建议
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385666.htm,GZWS-2025-6055-3,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次,¥50.62 万元,标项一 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包三次 数量: 不限 预算金额（元）: 267664.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项二 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目D包三次 数量: 不限 预算金额（元）: 23599.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项三 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目G包三次 数量: 不限 预算金额（元）: 214952.03 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1、2、3，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,3,项目为通用医用耗材和医疗器械采购，未明确提及电气设备或系统，与施耐德核心业务直接关联度低。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,小额(<100万),无,无明确切入环节。,可关注后续是否有相关基建或设备升级项目。
聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目采购更正公告（第一次）,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260410_26384429.htm,SDGP371500000202602000069,聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目,,,,杨言言、耿燕文,16606356172 / 16606356223,聊城市第三人民医院,卫育路62号,3,项目为临床试验机构备案咨询服务，不涉及设备采购或电气系统建设。,山东省聊城市,服务,未知,无,暂无直接机会，可关注后续机构建设中的电气需求。,保持信息关注，暂无需直接跟进。
吉林省中旗项目管理有限公司关于长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目的竞争性磋商公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260409_26383151.htm,JM-2026-03-01341-CGXM2026220199001407,长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目,¥55.00 万元,标项名称： 长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包 数量： 预算金额（元）： 550000 单位： 简要规格描述： 具体内容详见磋商文件。 备注： 合同履约期限： 标项 1，自合同签订之日起一年。 本项目（ 否 ）接受联合体投标。,,孟野,13944899171,长春中医药大学附属第四临床医院（长春市人民医院）,长春市宽城区南京大街728号,3,项目为消毒灭菌服务外包，不涉及设备采购或电气系统，与施耐德业务直接相关度低。,吉林省长春市,服务,小额(<100万),无,无直接机会。可关注医院未来可能的设施升级或能源管理需求。,无需直接跟进。可记录信息，关注该医院后续基建或改造项目。
天津市中医药研究院附属医院 天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目 (项目编号:TGPC-2026-D-0188)中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26390405.htm,TGPC-2026-D-0188,天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目,,,,李娟,022-24538225,天津市中医药研究院附属医院,天津市红桥区北马路354号,3,项目为医疗器械清洗消毒灭菌服务外包，不涉及设备采购或电气系统。,天津市,服务,未知,无,无直接机会。可关注医院未来可能的设备更新或基建项目。,记录信息，关注该医院后续可能涉及电气或设备的采购项目。
西安市第一医院医疗器械计量器具计量检定服务竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26386714.htm,【KRDL】K5-2603026,医疗器械计量器具计量检定服务,¥50.00 万元,详见采购需求附件,,姚瑶、王森、张怡凡、王昭、刘昆、张晨、代光艳、靳祥德、成荔、彭明杨、王莉,029-96702,西安市第一医院,通过陕西省政府采购网（www.ccgp-shaanxi.gov.cn）首页供应商用户登录，供应商应当按照以下要求进行系统操作。,3,项目为计量检定服务，不涉及设备采购或电气系统，与施耐德核心业务无关。,陕西省西安市,服务,中等(100-500万),无,无直接机会。,无需跟进，关注其他设备采购或基建项目。
聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目采购更正公告（第一次）,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260410_26384429.htm,SDGP371500000202602000069,聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目,,,,杨言言、耿燕文,16606356172 / 16606356223,聊城市第三人民医院,卫育路62号,3,项目为临床试验机构备案咨询服务，不涉及设备采购或电气系统建设。,山东省聊城市,服务,未知,无,暂无直接机会，可关注后续机构建设可能涉及的配电需求。,暂无需直接跟进，可记录信息并关注该医院后续基建项目。
浙江木石建设项目管理咨询有限公司关于企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务的公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26379086.htm,330110265190120000021--MS2026005,企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务,¥70.00 万元,标项名称： 企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务 数量： 不限 预算金额（元）： 700000 简要规格描述或项目基本概况介绍、用途： 企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务主要内容：企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务。具体以招标文件第三部分采购需求为准，供应商可点击本公告下方“浏览采购文件”查看采购需求。 备注： 合同履约期限： 标项 1，一年 本项目（ 是 ）接受联合体投标。,2026年04月28日 09:30,陈清清,0571-89516936,杭州市余杭区瓶窑镇人民政府,杭州市余杭区前程路28号,3,项目为政府监管服务采购，涉及药品、医疗器械安全治理，但无明确设备采购或电气需求。,浙江省杭州市,服务,小额(<100万),无,无明确切入环节。,无需跟进，项目性质与公司业务无关。
山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3)公开招标公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391301.htm,,山东省妇幼保健院2026年医疗器械、手术敷料、医用织物代洗涤、消毒、灭菌及供应服务项目(3),¥500.00 万元,,2026年05月07日09时00分,杨学安、洪坤、贾振、侯同旦、孙涛、徐艳,13386406562,山东省妇幼保健院,济南市浆水泉路9-7号(山东省妇幼保健院),3,项目为医用织物洗涤、消毒、灭菌及供应服务，不涉及电气设备或系统采购。,山东省济南市,服务,中等(100-500万),无,无,无需跟进，业务范围不匹配。
天津市中医药研究院附属医院 天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目 (项目编号:TGPC-2026-D-0188)中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26390405.htm,TGPC-2026-D-0188,天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目,,,,李娟,022-24538225,天津市中医药研究院附属医院,天津市红桥区北马路354号,3,项目为医疗器械清洗消毒灭菌外包服务，不涉及设备采购或电气系统。,天津市,服务,未知,无,无直接机会。,无需跟进，关注医院其他基建或设备采购项目。
西安市第一医院医疗器械计量器具计量检定服务竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26386714.htm,【KRDL】K5-2603026,医疗器械计量器具计量检定服务,¥50.00 万元,详见采购需求附件,,姚瑶、王森、张怡凡、王昭、刘昆、张晨、代光艳、靳祥德、成荔、彭明杨、王莉,029-96702,西安市第一医院,通过陕西省政府采购网（www.ccgp-shaanxi.gov.cn）首页供应商用户登录，供应商应当按照以下要求进行系统操作。,3,项目为计量检定服务，不涉及设备采购或电气系统，与施耐德核心业务无关。,陕西省西安市,服务,中等(100-500万),无,无直接机会。,无需跟进，建议关注其他设备采购或基建项目。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385666.htm,GZWS-2025-6055-3,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次,¥50.62 万元,标项一 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包三次 数量: 不限 预算金额（元）: 267664.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项二 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目D包三次 数量: 不限 预算金额（元）: 23599.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项三 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目G包三次 数量: 不限 预算金额（元）: 214952.03 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1、2、3，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,3,项目为通用医用耗材和医疗器械采购，未提及电气、配电或大型设备，与施耐德核心业务关联度低。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,小额(<100万),无,无明确切入点,无需跟进，业务不相关。
聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目采购更正公告（第一次）,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260410_26384429.htm,SDGP371500000202602000069,聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目,,,,杨言言、耿燕文,16606356172 / 16606356223,聊城市第三人民医院,卫育路62号,3,项目为临床试验机构备案咨询服务，不涉及设备采购或工程建设，与施耐德业务无直接关联。,山东省聊城市,服务,未知,无,无直接机会。,无需跟进，可关注该医院后续基建或设备采购项目。
吉林省中旗项目管理有限公司关于长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目的竞争性磋商公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260409_26383151.htm,JM-2026-03-01341-CGXM2026220199001407,长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目,¥55.00 万元,标项名称： 长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包 数量： 预算金额（元）： 550000 单位： 简要规格描述： 具体内容详见磋商文件。 备注： 合同履约期限： 标项 1，自合同签订之日起一年。 本项目（ 否 ）接受联合体投标。,,孟野,13944899171,长春中医药大学附属第四临床医院（长春市人民医院）,长春市宽城区南京大街728号,3,项目为消毒灭菌服务外包，不涉及设备采购或电气系统，与施耐德业务不相关。,吉林省长春市,服务,小额(<100万),无,无,无需跟进，业务完全不匹配。
天津市中医药研究院附属医院 天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目 (项目编号:TGPC-2026-D-0188)中标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260410_26390405.htm,TGPC-2026-D-0188,天津市中医药研究院附属医院复用医疗器械清洗、消毒、灭菌服务项目,,,,李娟,022-24538225,天津市中医药研究院附属医院,天津市红桥区北马路354号,3,项目为医疗器械清洗消毒灭菌外包服务，不涉及设备采购或电气系统。,天津市,服务,未知,无,无直接机会。,无需跟进，与公司业务无关。
西安市第一医院医疗器械计量器具计量检定服务竞争性磋商公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260410_26386714.htm,【KRDL】K5-2603026,医疗器械计量器具计量检定服务,¥50.00 万元,详见采购需求附件,,姚瑶、王森、张怡凡、王昭、刘昆、张晨、代光艳、靳祥德、成荔、彭明杨、王莉,029-96702,西安市第一医院,通过陕西省政府采购网（www.ccgp-shaanxi.gov.cn）首页供应商用户登录，供应商应当按照以下要求进行系统操作。,3,项目为计量检定服务，不涉及设备采购或电气系统，与施耐德核心业务无关。,陕西省西安市,服务,中等(100-500万),无,无,无需跟进，非核心业务领域。
三都水族自治县人民医院关于三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次的公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26385666.htm,GZWS-2025-6055-3,三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次,¥50.62 万元,标项一 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包三次 数量: 不限 预算金额（元）: 267664.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项二 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目D包三次 数量: 不限 预算金额（元）: 23599.6 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 标项三 标项名称: 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目G包三次 数量: 不限 预算金额（元）: 214952.03 简要规格描述或项目基本概况介绍、用途： 三都水族自治县人民医院（医共体）总院一批医用耗材、医疗器械采购项目A包、D包、G包三次，具体详见《采购文件》。 备注： 合同履约期限： 标项 1、2、3，1年。 本项目（ 否 ）接受联合体投标。,2026年04月30日 09:30,彭燕燕、唐昊、杨奇爽,15608540885,三都水族自治县人民医院,三都县三合街道,3,项目为通用医用耗材和医疗器械采购，未明确涉及电气、配电或大型设备，与施耐德核心业务直接关联度低。,贵州省黔南布依族苗族自治州三都水族自治县,耗材采购,小额(<100万),无,无明确切入环节。,无需跟进。
聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目采购更正公告（第一次）,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202604/t20260410_26384429.htm,SDGP371500000202602000069,聊城市第三人民医院药物与医疗器械临床试验机构备案服务项目,,,,杨言言、耿燕文,16606356172 / 16606356223,聊城市第三人民医院,卫育路62号,3,项目为临床试验机构备案咨询服务，不涉及设备采购或工程建设，与施耐德业务直接相关度低。,山东省聊城市,服务,未知,无,暂无直接切入环节。,可关注该医院后续基建或设备采购项目，建立联系。
浙江木石建设项目管理咨询有限公司关于企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务的公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26379086.htm,330110265190120000021--MS2026005,企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务,¥70.00 万元,标项名称： 企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务 数量： 不限 预算金额（元）： 700000 简要规格描述或项目基本概况介绍、用途： 企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务主要内容：企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务。具体以招标文件第三部分采购需求为准，供应商可点击本公告下方“浏览采购文件”查看采购需求。 备注： 合同履约期限： 标项 1，一年 本项目（ 是 ）接受联合体投标。,2026年04月28日 09:30,陈清清,0571-89516936,杭州市余杭区瓶窑镇人民政府,杭州市余杭区前程路28号,3,项目为政府专项治理服务采购，核心是监管与咨询，不涉及设备采购或系统建设。,浙江省杭州市,服务,小额(<100万),无,无直接切入机会。,无需跟进，项目与公司业务无关。
武汉药品医疗器械检验所化学试剂及检验耗材配送服务中标（成交）结果公告,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260415_26408105.htm,,化学试剂及检验耗材配送服务,,,,宫永鑫、史欢、盛其昌、胡佳康、马晶晶,027-85492633,武汉药品医疗器械检验所,武汉市高新大道666号,2,项目为普通化学试剂及检验耗材配送服务，不涉及电气设备或系统采购。,湖北省武汉市,服务,未知,无,无,无需跟进，项目与公司业务无关。
浙江木石建设项目管理咨询有限公司关于企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务的公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26379086.htm,330110265190120000021--MS2026005,企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务,¥70.00 万元,标项名称： 企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务 数量： 不限 预算金额（元）： 700000 简要规格描述或项目基本概况介绍、用途： 企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务主要内容：企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务。具体以招标文件第三部分采购需求为准，供应商可点击本公告下方“浏览采购文件”查看采购需求。 备注： 合同履约期限： 标项 1，一年 本项目（ 是 ）接受联合体投标。,2026年04月28日 09:30,陈清清,0571-89516936,杭州市余杭区瓶窑镇人民政府,杭州市余杭区前程路28号,2,项目为政府监管服务采购，涉及药品、医疗器械安全治理，但无具体设备或系统采购需求，与施耐德业务不直接相关。,浙江省杭州市,服务,小额(<100万),无,无明确切入环节。,无需跟进，项目性质为政府监管服务外包。
吉林省中旗项目管理有限公司关于长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目的竞争性磋商公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260409_26383151.htm,JM-2026-03-01341-CGXM2026220199001407,长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目,¥55.00 万元,标项名称： 长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包 数量： 预算金额（元）： 550000 单位： 简要规格描述： 具体内容详见磋商文件。 备注： 合同履约期限： 标项 1，自合同签订之日起一年。 本项目（ 否 ）接受联合体投标。,,孟野,13944899171,长春中医药大学附属第四临床医院（长春市人民医院）,长春市宽城区南京大街728号,2,项目为消毒灭菌服务外包，不涉及设备采购或电气系统，与施耐德业务无直接关联。,吉林省长春市,服务,小额(<100万),无,无,无需跟进，业务完全不匹配。
浙江木石建设项目管理咨询有限公司关于企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务的公开招标公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260409_26379086.htm,330110265190120000021--MS2026005,企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务,¥70.00 万元,标项名称： 企业特种设备安全保障及“三小”经营使用药品（含医疗器械、化妆品）安全问题专项治理工作社会化服务 数量： 不限 预算金额（元）： 700000 简要规格描述或项目基本概况介绍、用途： 企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务主要内容：企业特种设备安全保障及“三小”经营使用药品(含医疗器械、化妆品)安全问题专项治理工作社会化服务。具体以招标文件第三部分采购需求为准，供应商可点击本公告下方“浏览采购文件”查看采购需求。 备注： 合同履约期限： 标项 1，一年 本项目（ 是 ）接受联合体投标。,2026年04月28日 09:30,陈清清,0571-89516936,杭州市余杭区瓶窑镇人民政府,杭州市余杭区前程路28号,2,项目为政府监管服务采购，涉及药品医疗器械安全治理，但无具体设备或系统采购需求。,浙江省杭州市,服务,小额(<100万),无,无直接切入机会。,无需跟进，与公司业务无直接关联。
天津市医疗器械质量监督检验中心 2026年餐饮服务 (项目编号:DCZX-ZC-2026-104)公开招标公告,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260415_26410848.htm,DCZX-ZC-2026-104,2026年餐饮服务,¥160.00 万元,包号 是否设置最高限价 预算（万元）,2026年05月15日  14:00,张琪,13389073002,天津市医疗器械质量监督检验中心,天津市滨海高新区海泰产业园区华科大街5号,1,项目为餐饮服务采购，与施耐德电气的核心业务（电气设备、自动化、能源管理）完全不相关。,天津市,服务,中等(100-500万),无,无,无需跟进，业务完全不匹配。
河南省药品医疗器械检验院（河南省疫苗批签中心）河南省药品医疗器械检验院(河南省疫苗批签中心)熊儿河路79号院机关餐厅服务采购项目-中标公告,2026.04.15,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202604/t20260415_26409074.htm,豫财,河南省药品医疗器械检验院（河南省疫苗批签中心）河南省药品医疗器械检验院(河南省疫苗批签中心)熊儿河路79号院机关餐厅服务采购项目,,,,程鹏、李雪、郭保瑞、孙登雯、屈冬寒,0371-63336272,河南省药品医疗器械检验院（河南省疫苗批签中心）,郑州市熊儿河路79号,1,项目为机关餐厅服务采购，与施耐德电气的核心业务（电气设备、自动化、能源管理）完全不相关。,河南省郑州市,服务,未知,无,无,无需跟进，业务完全不匹配。
浙江信镧建设工程咨询有限公司关于浙江省医疗器械检验研究院2026年班车租赁项目公开招标公告,2026.04.14,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260414_26401138.htm,330000263320120000032-ZJXL-YLQX-202601,2026年班车租赁项目,¥85.50 万元,标项名称： 2026年班车租赁项目 数量： 1 预算金额（元）： 855000 简要规格描述或项目基本概况介绍、用途： 本项目为浙江省医疗器械检验研究院2026年班车租赁项目，详见招标文件第三部分采购需求。 备注： 每条路线最高限价： （1）东线车辆：820 元/天/条； （2）西线车辆：820 元/天/条； （3）南线车辆：820 元/天/条， （4）钱塘线或海宁线车辆：820 元/天/条； 注：超过以上最高限价为无效投标 合同履约期限： 标项 1，2026年6月-2027年6月。 本项目（ 是 ）接受联合体投标。,2026年05月06日 14:00,郑晓冬、刘泽、赵锋、陶晓闯,0571-87967630,浙江省医疗器械检验研究院,杭州下沙25号大街379号,1,项目为班车租赁服务，与施耐德电气的核心业务（电气设备、自动化、能源管理）完全不相关。,浙江省杭州市,服务,小额(<100万),无,无,无需跟进，业务完全不匹配。
吉林省中旗项目管理有限公司关于长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目的竞争性磋商公告,2026.04.09,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202604/t20260409_26383151.htm,JM-2026-03-01341-CGXM2026220199001407,长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包项目,¥55.00 万元,标项名称： 长春中医药大学附属第四临床医院（长春市人民医院）消毒供应商复用医疗器械及辅料等消毒灭菌全流程外包 数量： 预算金额（元）： 550000 单位： 简要规格描述： 具体内容详见磋商文件。 备注： 合同履约期限： 标项 1，自合同签订之日起一年。 本项目（ 否 ）接受联合体投标。,,孟野,13944899171,长春中医药大学附属第四临床医院（长春市人民医院）,长春市宽城区南京大街728号,1,项目为消毒灭菌服务外包，不涉及设备采购或电气系统，与施耐德业务无关。,吉林省长春市,服务,小额(<100万),无,无,无需跟进，业务不相关。
